quality_of_some_random_wine,ph_of_some_random_wine,density_of_some_random_wine,random_year,random_day,volume_disney_stock_traded_on_day_of_year,name_of_random_vegan_restaurant,city_of_random_vegan_restaurant,pricerange_of_random_vegan_restaurant,random_basketball_team,region_of_random_team,seed_of_random_team_in_year,text_of_random_book_review
6,3.41,0.99,2011,12-28,4634300,La Serenata De Garibaldi,Santa Monica,$$,Old Dominion,Southeast,9,"I enjoyed this book, part 4b of the series, although I agree with many of the critics, too long, unnecessary new characters, little resolved. But I love the series, first 3 books are 5 stars... I would really rate this a 3 1/2.My question however is this: I have heard there are two more books before series ends.... George RR Martin is 64 years old and it took 6 years to release this tome.... Does he have it in him, especially with the other distraction of the GREAT HBO series, Game of Thrones, which I have heard he is also very involved, to finish 2 more 700-1000 page books....?Or is this another job for Brandon Sanderson, the person who is now finishing the late Robert Jordan's ""Wheel of Time"" series... Good Luck George...!!!"
6,3.23,0.9956,2001,03-26,5302700,Real Food Daily,Los Angeles,USD 25.00-40.00,Utah St,East,12,"We had watched the series on TV which was based on this book Gold Diggers and so I bought this for my husband. He is thrilled with the book, which arrived in excellent used condition. He is telling me every day different information he is finding as he reads it. Very historical and thourough history."
6,3.29,0.993,1995,03-03,2357500,Vp2,New York,$$,Stanford,East,10,"Reading a good book is a chance to run off with the circus--to escape into a fun and exciting world totally unlike one's own. This is Gruen's gift to her readers. I got completely absorbed in the double stories of the old man in assisted living and the young man in the circus. By starting her book with the reflections of an old person looking back, this novel reminded me of Evening as well as Snow Flower and the Secret Fan. The black-and-white photos add a lot too. The historic photo on page 70 of the so-called gentleman ""freak"" is shocking, isn't it? A fast-paced enjoyable book.--Carol Weston, author of Melanie Martin novels for children and teen advice booksGirltalk Fourth Edition: All the Stuff Your Sister Never Told You."
5,3.13,0.99708,1998,01-29,5564700,Chopaati,Decatur,USD 0.00-25.00,Florida St,Midwest,12,"I found myself reading so many parts of this story to my husband they were so funny! This is definately a great book to read. A great story and a fast read, I loved it!(heard it was nothing like the movie though)"
6,3.32,0.99713,2009,12-17,14592500,,Brookfield,USD 0.00 - USD 30.00,VCU,East,11,"For Whom the Bell Tolls is a great book with large themes: war, love, devotion to duty, and the clash between modern, rational values and more traditional ones. At a higher level, it is about connections between people: indeed, the book opens with the following quotation from John Donne:. . . any mans death diminishes me, because I am involved in Mankinde; And therefore never send to know for whom the bell tolls; it tolls for thee.Hemingway takes us inside a guerilla band during the Spanish Civil War, mostly through the eyes of Robert Jordan, an American professor-cum-demolitions expert. Jordan is a Communist - at least he is strongly drawn to Communism - who has come to Spain to fight fascism. He has character and a sense of duty. Since, from our vantage point, at the beginning of the 21st century, it seems that not many people do, this gives the book a kind of ""long ago and far away"" feel. Readers in 1940, when the book was published, no doubt experienced it in a more immediate way.This book includes many memorable secondary characters: among them Pilar, the wise leader of the band of partisans, Pablo, her drunken, amoral, but capable husband, and Maria, the love interest in the story.Like every Hemingway novel that I've read, this one is well written. Hemingway uses the archaic English ""thou"" for the Spanish ""tu"" and translates literally from Spanish to English to better convey an impression of Spanish dialogue to English readers. These devices are initially distracting but are actually very successful at taking the reader inside the minds of the Spanish-speaking characters in this book.This is a distinguished work and an exciting one. It deserves its acclaim."
5,3.32,0.9957,2006,12-28,7206900,Vendetti's Pizza & Pasta,Oxford,,George Mason,East,11,Loved the series. I'm hoping there's a Book Six. I also want to see the HBO series. I'll probably buy the DVD set.
8,3.12,0.9911,1995,10-05,1985800,Monty's Blue Plate Diner,Madison,USD 0.00-25.00,Arkansas,Midwest,2,"This is a great great book that details the currents of history and the prime movers in the world that started WWII and the reasons that Japan entered the conflict that was already raging in Europe.Mr. Wouk does a masterful job of creating fictional, interesting and tragic characters to create the back drop for the drama of world conflict and gives interesting insights into the main political figures that played the biggest roles in WWII.If you are at all interested in this period of history but find reading history books to be dull and dry then historical fiction in general and this book in particular is a must read b/c WWII was the primary reason that the USA became a world super power albeit unwillingly at first.One cannot know why are we where we are until we know where we came from which is why this book is so interesting.WWII decimated Europe and the USA played a big/major role (England and France played lesser roles) in the rebuilding of Europe especially Germany but did so in large part to keep the Russians/Communists from claiming all of Europe to the English Channel.After reading this book if you are still interested in what happened after Germany surrendered then you should read Armaggedon by Leon Uris - which is an historical fiction about what happend in Germany when it surrendered and the Allied forces took control along with the Russians. However, the Russians were in it to grab as much of Europe as they could.This era in history is so interesting and it is easier to learn about it with a great novel like the Winds of War"
7,3.29,0.99562,1991,06-18,4212500,Whiskey Road Tavern & Grill,Cedar Falls,,Connecticut,Midwest,11,"The first of two books that sets the stage for the Henry family during WWII. Be sure to purchase both books. The story will make more sense that way. A serious read, yet one that will not put you to sleep. Wouk is a literary master at detail, geography, politics of the day, and the drama surrounding his characters."
6,3.38,0.9934,2013,07-05,5645800,Amelia's Garden Green Grocer and Organic Cafe,Snowflake,,Ohio St,West,2,"I finished all 350 pages in a day and a half. I Couldn't put it down. I've read a lot of great books, but this is by far my favorite of all time and it sooo deserves the five stars I gave it. It's like heartbreak, friendship, falling in love, fear, being forgotten, and a blast from a cruel yet exciting past all in one and I may go read it again once I finish this review. Water for Elephants broke my heart and touched me at the same time."
5,3.61,0.99581,2003,01-29,6992300,,Fredericksburg,,Troy,South,14,"I hesitate to slap a derisive label like ""chick lit"" on anything, but author Sara Gruen's third novel is a prime example of the worst kind of ""women's fiction""; Water for Elephants was obviously written by a woman solely for other women, with no attempt to be realistic from the male point of view. Instead it perpetuates the romantic ideals set forth by Harlequin and its ilk -- heights that no three-dimensional male can ever reach. (No wonder it was a word-of-mouth bestseller.)This is shown most strikingly through Gruen's protagonist, Jacob Jankowski. He does not talk, think, or act like any (straight) man I have ever met. The purpose he serves, it seems, is to stand in for a lot of women's idea of what a man should be. When a man looks at another man and calls him ""unshaven"" with the implication that what he really means is ""unclean,"" you know you're nowhere near reality. This type of man lives only in fiction.Gruen even makes Jacob a virgin (though old enough to have a degree from veterinary school) so that when he and the female lead finally make it to the bed (which is inevitable in this world), it more closely match the unspoken wishes of her audience.(Now, understand, men's fiction is no better from the woman's point of view, with the hero more often than not bedding the female lead, who then conveniently dies so he can have access to a series of new women without guilt for the expense of a succession of prostitutes. I'm not saying it's any better, but at least it's marketed to men and not a general audience.)Gruen relies so much on stereotypes from romance novels (or even just their covers) and ""chick flicks"" that none of the characters in Water for Elephants ever feels like a real human being but simply an archetype playing its part in her story. The writing flows nicely, and the story is somewhat interesting if you don't mind melodrama.Also, Gruen manages to humanize people who have previously been seen as freaks, but this was all for nought when I never believed that the narrator was telling me the truth about his gender. I actually kept waiting for that to be a ""twist"" in the story, and in fact was disappointed when it never came.Plus, if a man were really telling the story, he would undoubtedly have recognized the sophomoric unintentional hilarity in the following passage: Teams of men are ... raising enormous poles.... I pass a group of ten throwing their combined weight against a single rope as a man off to the side chants, ""Pull it, shake it, break it! Again--pull it, shake it, break it! Now downstake it!"" [p. 34].(Yeah, that's what she said!)"
5,3.21,0.9952,2010,04-20,16515000,Wedgwood Ii Vegetarian Thai,Seattle,USD 25.00-40.00,Duke,Final Four,1,"Well... like many I finished this book very frustrated, after, like some have already said... stories drag and drag endlessly with no climax in any of them. The abuse of anticlimax began to drive me nuts, I felt like reading Ann Rice's Queen Of The Damned all over again. Still, I always enjoy his style, as all his books, you can find pretty pearls of writing worth of quoting here and there. My first impression after finishing this book was that, with the imminent broadcast of HBO's GOT miniseries, the publishing house put pressure on Martin to wrap whatever he had, try to get something that would work as an end, and hand it over for it's quick publishing, and that is what happened. I read he at least took out 4 already written chapters to save for The Winds Of Winter. So this book should be seen as a bridge, where action just was build up to reach it's climax... only that... we'll probably will have to wait another 6 years! Let us hope not!"
5,2.99,0.99836,1993,03-01,2267800,Euro Fusion Restaurant and Bar,Boca Raton,$$,Louisiana Monroe,Southeast,13,"This is one of the greatest modernist novels to deal with the subject of war. Set during the Spanish Civil War of the 1930s, this novel explores war as it really is, not as what it is glorified or vilified to be according to the whims of a journalist or novelist. There is very little of the actual war in the foreground of the plot--the entire novel spans only about four days--but the relationships of the characters and their interaction with one another allows the reader to see what war is like from the viewpoint of those who participate in it. Like Crane's The Red Badge of Courage, this book deals with the psychological and human ramifications of war.The hero is Robert Jordan, an American idealist fighting in Spain on the side of the `Republic,' or Communist, party. Opposite the `Reds' are the so-called fascists. At the beginning, Jordan has an unflinching and unwavering duty to the cause, but the people he meets and a girl he falls in love with alter somewhat his outlook. The bulk of the novel deals with Jordan's own philosophy, but also with the philosophy of the band of guerillas he is assigned to complete a mission with. Through his love for the girl, Maria, and his interaction with the scheming rebel leader Pablo and his wife Pilar, Jordan learns much about life and war.The plot moves quickly enough, and all leads up to the final climactic battle at the bridge. This is perhaps Hemingway's finest moment, and his treatment of the battle and fate of the group is nothing short of masterful. The quote from John Donne ""never send to know for whom the bell tolls"" looms ominously throughout the novel, and the battle of the bridge and the final, chilling moment of truth for Robert Jordan drives home the harrowing fact that is the reality of war: ""it tolls for thee."""
6,3.14,0.9914,1988,12-06,3939900,Good Morning Cafe,Ballston Spa,,North Carolina,West,2,This is an excellent short book of inspirational fiction by one of the best poets of all-time. I especially love the artistic cover of this well made paperback edition.
6,3.18,0.9902,2005,06-06,6630200,Fox's Pizza Den,Port Allegany,$$,Arizona,Midwest,3,"And man in a nursing home tells his life story from the past and now in the present. Most of this read is sad but reality to this man. Even his present life seems sad.Talks about his life adventure as he embarks on a traveling circus company that travels by train.If you are sensitive to animal cruelty, beware as some of this book has exposure to this matter.Had a great ending. It was written well."
6,3.16,0.9912,2009,11-25,10274900,Dragonfly Cafe,Stuart,,Syracuse,South,3,"I first became aware of Kahlil Gibran when I read a poem of his that was on the menu at my favorite Lebanese restaurant. Ever since then, I have sought out his books. The Prophet is my favorite. Several of the &quot;poems&quot; or passages are fully relevant to parts of my life. The book makes one feel good and inspired to do good for others. There is barely an aspect on life that the poems do not touch on-love, marriage, death and all of our own insecurities and doubts about people and life. This would be a good book to give to a friend who is going through a rough time, or just has unanswered questions at a certain point in their lives. The writing is lucid, insightful, and will be relevant for as long as time goes on.The drawings add to an already great work. At my favorite Lebanese restaurant, I not only found good food-I thankfully found Kahlil Gibran."
6,3.37,0.99683,2006,05-02,6901300,Vietnamese Garden,Colorado Springs,$$,Montana,Midwest,12,"This volume is the second half of ""Flashman's American Adventure,"" beginning as it does a few minutes after the end of _Flash for Freedom!_ Harry Flashman is stuck in New Orleans and wants badly to get home to England and he thinks at first he can prevail on the bawdy house madam who cottoned to him in the previous book to let him hide out at her establishment and then book him passage. But this is the beginning of 1849, gold has been discovered in California, and Susie is convinced she can make an even greater fortune by transporting her girls and her furniture to the Far West. Flashman ends up marrying her (bigamously, of course) and becomes the titular boss of her wagon train out of Independence, Missouri, bound for Sacramento. Actually, having met mountain men and famous frontier scouts and crossed paths with several sorts of Indians, they only make it as far as Santa Fe, which Susie decides is far enough. And Flashman is on his own again -- and to get the cash to continue his long-term escape, he commits an act that is remarkably callous and brutal even for Flashy. But he doesn't get far, being captured this time by Apaches and getting himself married for the third time. It's a good thing he has such a talent for languages! But he eventually accompanies Kit Carson to Wyoming and thence home.Then we jump to the second half of this story, a quarter-century later. One of the more delightful continuing themes throughout this series is Flashman's peculiar relationship with his wife, Elspeth -- gorgeous, brainless, devoted to her Gallant Sir Harry, and yet as completely unprincipled and lecherous as her husband when it comes to sex. In the early days, he couldn't say anything about it because she controlled the purse-strings. Now, in middle age, they've long since reached an accommodation. Besides, Harry has never actually caught her in flagrante. Anyway, Elspeth's craving for travel is the reason Flashman is back in America in 1876 to begin with, and at first he's outraged to discover that she's probably been off rolling in the hay with the great Lacotah chief (and his old acquaintance) Spotted Tail. But then he thinks, as always, ""if I'm wrong and she's as chaste as the mountain dew, so much the better. If she's not, what's an Indian more or less?"" Because Flashman has been recruited to take part in the U.S. Government's unenthusiastic negotiations with the Plains tribes in the wake of another gold strike, this time in the Black Hills, and Elspeth is along for the ride. And then his lecherous nature leads him to lend his name to a land development scheme in North Dakota -- and that will be his undoing, as Fate and Justice come back to bite him good and hard. The upshot is that Sir Harry is bound hand and foot in a Sioux tipi on the Little Big Horn when Custer and the 7th Cavalry show up.I've never been a Custer fan. As Flashman notes, he was quite a good cavalry brigade commander during the Civil War (when he also didn't have the leeway for independent action) -- but he was a terrible army officer, which is a somewhat different thing. And by the mid-1870s, his political ambitions were driving his self-aggrandizement to a point of such reckless disregard for reality that he had become a positive danger to those in his command. In fact, Flashman makes a number of comparisons between the Sioux campaign and the Crimea, regarding the lack of intelligence (in the military sense), the personal arrogance of those in command, and the sheer stupidity of not knowing when to quit. Plus, Gen. Terry was a nice man with not nearly the bloody-mindedness of Lord Lucan or Colin Campbell. Plus, face it, Custer was an idiot, so there. In any case, Flashman survives the massacre, as you knew he would, but he does so with the timely assistance of the very last person he could have predicted. And that leads to a rather sad ending.This is, I think, one of the best of the entire series (though I wasn't crazy about _Flash for Freedom!_). But that may just be me. I generally have to take the author's word for what the British Raj was like, but the Old Southwest before the Civil War is a time and a place in which I have taken a very close interest for a number of decades, both academically and personally. I've been to most of the places Flashman visits, I've read every one of the books he cites as sources in his footnotes, and I know a good deal about most of the major historical characters he meets, and I have to say Fraser has done a splendid job of it. He genuinely makes the New Mexico desert, especially, come alive. I agree that it's a beautiful and frightening place, depending on the circumstances. A terrific yarn. But I have to say it's a shame that the author died before he got around to writing of Flashman's adventures on both sides of the American Civil War."
6,3.46,0.99455,2014,05-08,9257700,Phelps Barn Pub,Grafton,,Kentucky,Final Four,8,"This is a spectacular book...humans settle mars, among them are revolutionaries, visionaries, scientists, plain old capitalists...and as resources run out on earth, the transnationals are doing everything they can to get minerals, governments are doing everything the can to siphon their excess population. And the face of mars is utterly transformed. Raising fascinating questions about technology, the environment, the meaning of space exploration for this world, and the politics of settling another...it really is spectacular."
6,3.18,0.99862,2005,10-17,7327100,Living Veggie Technology,Scarborough,,Wisconsin Milwaukee,Midwest,12,"Sara Gruen's prose is straightforward and simple, her research of Depression-era circus life impeccable. With a gentle hand, she transports the reader back to a time and place most of us could never imagine. Along the way, her rich characters--Jacob, the young protagonist whose world implodes as he readies himself for life as a veterinarian, Marlena, the beautiful circus performer he falls in love with, and August, her psychotic husband and head trainer of the 'Worst Show on Earth'--leap off the page. Water for Elephants is a rickety train ride into the dark, seedy, melancholy world of the 1930s circus performer. But it's a trip worth taking. Your final destination is not a place of misery and despair but one of love and hope. And the ending is guaranteed to soften the hardest of hearts.Salmon Run"
6,3.16,0.9965,2017,06-15,5309900,Henry Viii Carvery,Kittery,,Xavier,West,11,"The title of my review pretty much says it all. This was a very easy, enjoyable read full of characters you can't help but love - and love to hate. There were some inconsistencies in details, but most of them would sail right past the average person and weren't a big deal to me.It is almost always hard for me to initially get into a book, I don't know why, but it is. This book was different, it had my rapt attention from start to finish - though the end was disappointing to me. After chapters of such a great story, I found the almost ridiculous improbability of the ending to be quite out of place. I also could have happily lived without the animal abuse and the unnecessary deaths of Walter & Camel, but the ending sat particularly poorly with me. In addition, the final chapter seemed to bring the previously well paced story to a very abrupt halt that felt all wrong. I enjoyed the rest of the book, however, and feel it's well worth the read."
7,3.19,0.98984,1997,01-30,4288900,,Sherman Oaks,,College of Charleston,Southeast,12,This is one of the best books I've read in years. It was incredibly refreshing. I could smell the animals and the food and I could visualize everything so easily. Jacob was fascinating and courageous. I wept for him and I feared for him. The circus came alive for me and what an ending!!! Don't miss this fantastic read.
6,3.52,0.9982,1986,06-09,6287200,Bloodroot Vegetarian Restaurant,Bridgeport,,Old Dominion,East,8,This fabulous book is not only a visual piece of art but the recipes are incredible. Susanna Palazuelos traveled extensively through her home country of Mexico and has put together a cook book like no other. A true masterpiece.
5,3.33,0.99382,1988,05-04,2630700,Square Cafe,Hingham,USD 50.00-55.00,Seton Hall,West,8,"As a youngster, I read and enjoyed Red Storm Rising, Hunt for Red October, Patriot Games, Clear and Present Danger, and Cardinal of the Kremlin. (I thought that Sum of All Fears was pushing it.) But Without Remorse is quite another story. Here Clancy reveals himself to be a real facist. Certainly the victims of Kelly/Clark's rage are not innocents, but they are pointless executed, and the book doesn't even take the time to explore the effect that this has on Clark or really give him any kind of depth. In Lethal Weapon, we only know that Riggs's wife is dead, this alone is enough to make him suicidal and add considerable depth to his character. In Without Remorse, the love interest's death is only exploited to give Clark an excuse to kill everyone. I found Clancy's obvious animus towards liberals and women distasteful and his lack of respect for human life and even a sense of the impact that taking another person's life has on your own--well, it is truely baffling to consider how a man who is marginally an intellectual can be that primative. He falls short even of the mark that his other novels set. One is better off with any of his previous works, especially Clear and Present Danger or Cardinal of the Kremlin."
7,3.12,0.99339,1993,06-07,2612700,Nikoli's Pizza & Catering,Camp Hill,$$,George Washington,West,12,Water for Elephants deserves all the hype it has gotten. Terrific story and I could not put it down.
6,3.09,0.98936,2017,12-06,8121700,Aladdin's Natural Eatery,Dublin,,Middle Tennessee St,South,12,"It's the early 1920s. Jacob Jankowski is about to finish up his veterinary degree at Cornell University when he learns that his parents have been killed in a car crash. Stunned by this awful and sudden turn of events, Jacob completely blanks while taking his final exams. He walks out and wanders out of town in a complete daze, eventually jumping a train. It turns out he has jumped the circus train for the Benzini Brothers Most Spectacular Show on Earth.Jacob pretty much instantly falls for Marlena, one of the star performers. The only problem is that she is already married to August, the animal manager, who is, as we come to find out, a paranoid schizophrenic with erratic behavior problems. The story focuses on these three characters as the circus train makes its way around the country, performing in various cities. Along the way, the circus acquires an elephant, Jacob befriends his reluctant roommate, and tries to save an ailing friend from being tossed from the circus.This is a really interesting and moving book. It's really fascinating to read about daily circus life and how things worked. And it's a touching story about a smart elephant, a compassionate vet, and a forbidden love. I do wish there had been some more charater development for Rosie the elephant, though. Also, the story is told in retrospect, from a present-day Jacob who is now in his 90s. Every few chapters, the story skips back to present day, and the nursing home-bound narrator. I felt the story would have worked a lot better if it had just stuck to the circus part of the story. The present day interjections were distracting. Other than that, this was an excellent book. Highly recommended."
6,3.25,0.9967,1989,10-11,7118200,Fresh Brothers Pizza,Marina Del Rey,,Middle Tennessee St,Southeast,13,"We choose Water for Elephants for out bookclub by recommendation from one of our member's husband. He is not a fan of reading and said he could not put the book down. I must say he gave us an excellent book to read, for I could not put it down either.Going back and forth from present to past was seemless and spellbinding. A great read for a book club or for just one's general enjoyment."
6,3.61,0.9917,1992,04-09,10936500,,Cleveland,$,Georgia Southern,Southeast,15,Fabulous story. I read it before the movie. The book was way better. I loved that Gruen did significant research to make the story realistic. I appreciated all of her notes at the back of the book.Dream Weaver (Dream Weaver Novels) (Volume 1)
5,3.51,0.9998,1985,08-07,5168900,Thai Satay Restaurant Bar,S San Francisco,$$,Auburn,Southeast,11,"The ur-text for today's wartime adventure novel, ""For Whom The Bell Tolls"" remains a standard bearer for pulse-pounding action fiction, and one of the true masterpieces by the most celebrated American author of his time.Robert Jordan is a Spanish-language instructor from Montana who, now in Spain, has a job of another kind: blow up a critical bridge under enemy control before his comrades, the Republicans of the Spanish Civil War, mount a critical attack. He falls in with a band of motley guerrillas, discovering the joy and passion of life even as he must make peace with the real possibility of his death.When published in 1940, there was little need to explain the title: the bell was tolling pretty loudly for just about everyone outside of Sweden and Chile as the Axis powers led by Nazi Germany rolled up giant chunks of the globe. Germany's three-year dress rehearsal had been the Spanish Civil War, where they helped Spanish fascists and monarchists overthrow the Marxist-led Republicans while Western democracies watched idly. Ernest Hemingway, a strong supporter of the Republican cause, lost arguably the only country he ever really loved.""For Whom The Bell Tolls"" could have been an exercise in told-you-so or score settling with the right-wing victors Hemingway despised. Yet the story is so engaging - so raw and sweeping in its style, so visceral in form, and undogmatic in outlook - that it is hard to know from reading it just how bruised a champion Hemingway had been for the losing team. The most drawn-out, brutal section of narrative deals with atrocities committed by Republicans, not fascists. Rebels and Republicans alike appear oddly human.""Do you think you have a right to kill any one? No. But I have to. How many of those you have killed have been real fascists? Very few. But they are all the enemy to whose force we are the opposing force. But you like the people of Navarra better than those of any other part of Spain. Yes. And you kill them. Yes.""That's one of many internal monologues Jordan has with himself in the course of the book, which may annoy some expecting more wall-to-wall action but works fine by me. It's easy imagining oneself pondering similar questions in similar situations, and the running stream-of-consciousness adds to the nail-biting tension.Hemingway also does very well by the secondary characters, especially the guerrilla band Jordan takes up with. Their leader, Pablo, was a once-ruthless killer of fascists now reduced to drink and train-robbing. ""There is not enough of you left to make a sick kitten,"" says Pablo's bitter woman, Pilar, herself a tigress and Jordan's chief ally. Pilar is both supporter and scoffer of Jordan's budding relationship with Maria, a teenaged rape survivor rescued by the guerrillas. This is not a merry band of outlaws; their very fractiousness draws you in.As a Sam Peckinpah fan, I was struck by how pleasingly similar ""For Whom The Bell Tolls"" was to the classic Western desperado saga ""The Wild Bunch"". Both are straightforward action yarns with a lot of backstory, vivid characters and setting, and a storyline that cleverly pulls you in even as it seems to ramble.""For Whom The Bell Tolls"" is less concerned about the bridge itself (where or when precisely this action is occurring is never spelled out) then the feelings that surround warfare, and how and why one man must do what he can, for as Rick said in ""Casablanca"", the problems of one man don't add up to a hill of beans in this crazy mixed-up world. Hemingway's ending is less Hollywood but just as stirring, and a fittingly open-ended climax to this singular story."
6,3.17,0.99396,1989,06-19,5872200,Royal India Restaurant,Plymouth,,Middle Tennessee St,Southeast,13,"This is one of the best written books I have read in 2006, older people will certainly recognize some of their own life, and younger people should see a whole new view of their future."
5,3.43,0.9958,2000,02-22,12748100,Dakshin Resturant,Woodbridge Township,,Tulsa,South,7,"From August 2009:I'm still working out how I feel about this book. It was so well written, goes seamlessly between the past and the present. The love story (was it between he and Marlena or he and Rosie?) was lyrically written. The author did an amazing job of pulling me back and forth between the two. I even shed a few tears over a few different things. I'm not an animal activist, but certain parts of this book made me very uncomfortable. The history of the circus is pretty well known. We know the animals were mistreated (heck, they are today too), but the author writes so well about this subject that I found it hard to swallow that lump in my throat. It's obvious she did some major research into the subject matter.When I originally read the description for this book, it was on my ""skip it"" list, but a few of my friends read it and told me I ""had"" to read it. I'm so glad they did. This was a beautiful book and definitely in my top 10 for the year.=======================February 2010:I read this one just six months ago but someone in my book club chose it so I decided to re-read it. It's always interesting when I read a book a second time, especially if it was one that I really enjoyed (and this was definitely a book I enjoyed immensely.I noticed things I didn't notice in the first read, probably because I knew what was going to happen so I found a lot of the little quirky foreshadowing and things. The prologue, of course, caught me and a lot of ""ahhh..."" moments.This is a book you must read. It really is that simple. I had looked at it a few times, but it really didn't look like anything I would want to read, so I kept skipping it. A friend of mine insisted I read it last year and I'm glad she did. It's absolutely wonderful! Read it."
5,3.03,0.9914,2017,01-17,7583100,Lebanese Chicken - Hamtramck,Hamtramck,USD 0.00 - USD 25.00,South Carolina,East,7,"John Clark is the prototypical kind of hero our country needs in every community, and while I'm sure some exist, we could use more. This is one of those books I knew Clancy needed to write, and hopefully he writes more, because Clark is fantastic character.Clearly the war on drugs has been lost at virtually every juncture. Traditional law enforcement is akin to giving everybody a can of Lysol and expecting the common cold to be cured. Yeah, you may get the obvious stuff, but there's so much out there, you're sure to miss enough to keep the supply of bacteria flowing.While I'm not a proponent of vigilantism, few people in this country have not been touched in some way by the pushers, cookers and dealers. They aren't just on the street corners in the bad neighborhoods, either. They inhabit every socioeconomic strata, including the gated communities inhabited by the most affluent.There are times where the viruses on humanity need to be cut out like the cancer they are, and a character like Clark can do it. Can you imagine a drug trade in a community where the dealers are shot without warning, upon getting caught dealing by a phantom hero? Or worse, are found naked and dying on the street after some torture in a hyperbaric chamber? I can. The drug trade simply wouldn't exist.Violence should be a last resort at an conflict resolution, but when all other methods fail, then the application of violence should be undertaken -- Without Remorse."
6,3.28,0.998,2013,01-29,7786400,Jack’s Stir Brew Coffee,New York,,Michigan,South,4,"GOOD STORY, NOT GREAT BUT FUN TO READ. I HAD HEARD IT WAS SO GREAT....SO WAS A BIT DISAPPOINTED. BUT GLAD I READ THE BOOK"
7,3.11,0.99886,2005,08-23,7164700,Western Sizzlin,Mount Pleasant,,Pittsburgh,West,9,"I didn't like it--too depressing--killings, , blood, war--who needs it, even if t was Hemmingway. The main character in the book, Robert, may have been a self study of Hemmingway himself!!"
6,3.18,0.99378,2015,04-17,9663500,Ritual Café,Des Moines,USD 0.00-25.00,Georgia,East,10,"Hemingway published FOR WHOM THE BELL TOLLS in 1940, just after the end of the Spanish Civil War. Surely, one of Hem's goals in writing this novel was to capture in fiction the full human and political complexity of this war, which was, for a time, the great international cause. This may explain why this novel, despite its great craftsmanship and virtuosity, reads a little long. Hem, you see, had to get everything in.IMHO, the best feature of this terrific book is its wonderful Spanish characters. These participate in the war, which is a great cause for Robert Jordan, the novel's protagonist. But they participate because of family loyalty, fascist war crimes, or class rage and soldiering is mostly peripheral to their personalities. What the reader remembers is not their support of the Republic but the integrity of Anselmo, the dignity of Fernando, the humor of Agustin, the simple loving sincerity of Maria, the harsh surface of Pilar, and the murderous treachery of Pablo. These are, basically, ordinary Spaniards caught in a gruesome tragedy, not ideologues or idealists who are transformed or energized by the cause.Hem also handles Robert Jordan skillfully. When Jordan first appears, he seems to be concerned only with his duty to the cause, which, on this mission, is to blow up a bridge. But quickly, Jordan meets the loving Maria. Then, through this relationship, Hem explores Jordan's thoughts and feelings on life and death. While Jordan is not an extraordinary man with breakthrough thoughts, he is an extraordinary character who, thanks to Maria, both examines the rationale for risking his life and identifies the beauty of what may be its final few days.There are many great scenes in this novel. Among my favorites are the appearance of the planes and Pilar, at fireside, telling the story of her matador lover. And--surprise!--Hemingway is funny in FWTBT, not in a hilarious Robin Williams style, but with the dexterity of a witty companion. With Hemingway's misogyny, competitiveness, alcoholism, and depression now raised to critical prominence, I was surprised to see that the man could be a good guy.FWTBT is number 74 on the Modern Library's list of 100 Best Novels... a bit low in my estimation."
5,3.07,0.9938,1990,10-17,7605000,Marco's Pizza,Lansing,,Kansas St,Midwest,11,"It's clear why this unusual work wound up on the NY Times Bestseller List, because it will appeal to a mass audience. It captures a time and environment that stirs the curiosity of young and old. Who wouldn't be interested in exploring the dysfunctional dynamics of the circus family, during the perilous era of the early 30's. It allows you to finally be able to, run away to the circus, in the comfort and safety of your easy chair. And, as intriguing as some scenes might be, it makes you just as glad you never did.While written simplistically, the messages run deep. The cruelty that existed during those hard times and the effect on man and beast, were heartbreaking. It was particularly difficult to envision the animal abuse and neglect, but it was so integral to the story that you had no choice. It was a reminder, that left unchecked and unsupervised, that the weakest amongst us will frequently be delegated the scapegoats. It was also a reminder of the evil that can be unleashed by man when faced with desperate times.Visiting the Senior Jankowski was particularly delightful. A mere ""90, or maybe 93,"" as he frequently chimed, his struggle to retain dignity and independence was inspirational and beautifully drawn out. Gruen also did a great job moving seamlessly between the Senior Jankowski and his youthful, 23 year old counterpart. Sometimes I wouldn't even notice, even though decades separated the characters, when we'd moved from one to the other, which is not easily accomplished. They were both struggling with the angst of the past, the ugliness of the moment and the uncertainty of moving forward.I've read reviews where some took exception to using Schizophrenia as an excuse for one of the characters cruelty and explosive episodes, as his behaviors were not typical for Schizophrenia. And, they definitely weren't! However, in the 30's Schizophrenia was not well understood and likely frequently misdiagnosed, becoming a catch-all for describing many signs of mental illness. I don't believe this should detract from the story.My grievances are few, but I did have some issues with the ending, which I found unrealistic, although I'm not sure we were intended to interpret the ending so concretely. If you take it beyond face value, the ending can have some very deep meaning. I think it depends entirely on the reader to decide for themselves."
5,3.35,0.9977,1989,02-02,3083300,Dao Palate Vegan Flatbush,Brooklyn,USD 0.00 - USD 30.00,Ball St,Midwest,9,"I will say I have not seen the movie, I just read the book. This was a good book. I read it in 2 days because I got very involved in the plot. There were a couple of things I did not like, for example what happened to two of his buddies, but the story itself was good. You will never look at the circu the same way afte reading this one."
